timestamp,original_query,expanded_query,terms_added
2026-04-02T11:41:24.479783,What are the stages of information storage?,What are the stages of information storage ? be stage microscope stage info data selective information store memory computer memory,13
2026-04-02T11:42:19.976509,AI ,AI army intelligence artificial intelligence,4
2026-04-02T13:48:34.144537,information storage?,information storage ? info data selective information store memory computer memory,9
2026-04-02T13:48:46.072236,information storage?,information storage ? info data selective information store memory computer memory,9
2026-04-02T13:48:46.177870,information storage?,information storage ? info data selective information store memory computer memory,9
2026-04-02T13:48:46.282408,information storage?,information storage ? info data selective information store memory computer memory,9
2026-04-02T13:51:02.486078,information storage?,information storage ? info data selective information store memory computer memory,9
2026-04-02T15:16:59.971848,Machine learning,Machine learning simple machine political machine learnedness,5
2026-04-02T15:17:32.047359,Machine learning,Machine learning simple machine political machine learnedness,5
2026-04-02T15:17:32.248289,Machine learning,Machine learning simple machine political machine learnedness,5
2026-04-02T15:17:32.439666,Machine learning,Machine learning simple machine political machine learnedness,5
